DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: End extract tabbed content
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: keys:  1
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: value:  tabs
title
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: File loaded: /home/devhap/public_html/application/ha/views/sitewide/doc-head.lc
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: File loaded: /home/devhap/public_html/application/ha/views/home/home-page-head.lc
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: File loaded: /home/devhap/public_html/application/ha/views/sitewide/global-navigation.lc
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: Result:invalid URL: 
DEBUG - Sat, 31 Aug 2019 23:55:07 -0700: It:
DEBUG - Sat, 31 Aug 2019 23:55:11 -0700: File loaded: /home/devhap/public_html/application/ha/views/home/main-content.lc
DEBUG - Sat, 31 Aug 2019 23:55:11 -0700: File loaded: /home/devhap/public_html/application/ha/views/sitewide/footer.lc
DEBUG - Sat, 31 Aug 2019 23:55:11 -0700: Final output sent to browser
DEBUG - Sat, 31 Aug 2019 23:55:11 -0700: Total execution time: 3.9008
DEBUG - Sat, 31 Aug 2019 23:55:11 -0700: File loaded: /home/devhap/public_html/application/ha/views/home/main-content.lc
DEBUG - Sat, 31 Aug 2019 23:55:11 -0700: File loaded: /home/devhap/public_html/application/ha/views/sitewide/footer.lc
DEBUG - Sat, 31 Aug 2019 23:55:11 -0700: Final output sent to browser
DEBUG - Sat, 31 Aug 2019 23:55:11 -0700: Total execution time: 4.0289
